observation_date,CAPOP
01/01/90,29950.111
01/01/91,30414.114
01/01/92,30875.92
01/01/93,31147.208
01/01/94,31317.179
01/01/95,31493.525
01/01/96,31780.829
01/01/97,32217.708
01/01/98,32682.794
01/01/99,33145.121
01/01/00,33987.977
01/01/01,34479.458
01/01/02,34871.843
01/01/03,35253.159
01/01/04,35574.576
01/01/05,35827.943
01/01/06,36021.202
01/01/07,36250.311
01/01/08,36604.337
01/01/09,36961.229
01/01/10,37319.55
01/01/11,37636.311
01/01/12,37944.551
01/01/13,38253.768
01/01/14,38586.706
01/01/15,38904.296
01/01/16,39149.186
01/01/17,39337.785
01/01/18,39437.463
01/01/19,39437.61
01/01/20,39521.958
01/01/21,39142.565
01/01/22,39142.414
01/01/23,39198.693
01/01/24,39431.263
